title,year,id,imdb_id,rating
Go West,1925,1978,0015863,0
The Phantom of the Opera,1925,1305,0016220,2
The Big Parade,1925,5962,0015624,2
Battleship Potemkin,1925,1308,0015648,0
Seven Chances,1925,3077,0016332,0
The Freshman,1925,2012,0015841,0
Stachka,1925,5991,0015361,0
The Lost World,1925,5514,0016039,2
The Temptress,1926,1334,0017449,1
For Heaven’s Sake,1926,1966,0016895,0
Die Abenteuer des Prinzen Achmed,1926,5974,0015532,1
So’s Your Old Man,1926,3217,0017410,3
The General,1926,1310,0017925,0
Flesh and the Devil,1926,1260,0016884,1
Nevada,1927,1982,0018199,0
The Kid Brother,1927,1964,0018051,0
My Best Girl,1927,2010,0018183,3
It,1927,1227,0018033,3
Downhill [When Boys Leave Home],1927,7324,0017825,1
Abel Gance’s Napoleon,1927,1312,0018192,2
The Jazz Singer,1927,5975,0018037,1
The Unknown,1927,1311,0018528,0
Sunrise: A Song of Two Humans,1927,1632,0018455,2
Metropolis,1927,1267,0017136,1
Wings,1927,3118,0018578,1
The Man Who Laughs,1928,2021,0019130,2
"Steamboat Bill, Jr.",1928,1971,0019421,0
While the City Sleeps,1928,2017,0019571,2
The Crowd,1928,5912,0018806,1
The Patsy,1928,2013,0019258,3
Speedy,1928,1963,0019412,0
Our Dancing Daughters,1928,9314,0019237,2
The Cameraman,1928,1970,0018742,0
Beggars of Life,1928,1977,0018684,0
A Girl in Every Port,1928,1980,0018937,0
The Passion of Joan of Arc,1928,1314,0019254,0
The Docks of New York,1928,5984,0018839,2
The Racket,1928,1972,0019304,0
The Power of the Press,1928,1979,0019290,1
The Circus,1928,1968,0018773,0
Man with a Movie Camera,1929,3897,0019760,0
Blackmail,1929,5979,0019702,2
The Cocoanuts,1929,1953,0019777,2
Broadway Melody,1929,8464,0019729,3
Throw of the Dice,1929,6046,0020286,0
Welcome Danger,1929,1962,0020572,0
Pandora’s Box (Die B&uuml;chse der Pandora),1929,2324,0018737,3
Juno and the Paycock [The Shame of Mary Boyle],1929,7287,0021015,3
Un chien andalou,1929,1313,0020530,0
Ladies of Leisure,1930,3713,0021040,3
All Quiet on the Western Front,1930,1316,0020629,0
L’Age d&#39;Or,1930,3871,0021577,0
Morocco,1930,3865,0021156,1
Anna Christie,1930,1326,0020641,3
The Blue Angel,1930,1315,0020697,1
Be Yourself,1930,4253,0020670,2
Animal Crackers,1930,8463,0020640,3
The Bat Whispers,1930,6782,0020668,3
Murder!,1930,7291,0021165,3
Min and Bill,1930,3927,0021148,3
Skippy,1931,9095,0022397,3
Indiscreet,1931,1828,0022000,3
Anna Christie,1931,1327,0020642,3
Little Caesar,1931,6043,0021079,1
The Skin Game,1931,7294,0022395,3
Dracula,1931,1985,0021814,2
M&auml;dchen in Uniform,1931,628,0022183,3
A Nous la Liberte,1931,6031,0022599,1
M,1931,610,0022100,3
Pardon Us,1931,1974,0022251,0
The Public Enemy,1931,5934,0022286,3
The Last Flight,1931,1956,0022054,0
Cimarron,1931,8467,0021746,3
Mata Hari,1931,1333,0023196,3
La Chienne,1931,6030,0021739,3
Tabu: A Story of the South Seas,1931,1633,0022458,0
Dracula,1931,8213,0021815,3
Rich and Strange [East of Shanghai],1931,7296,0023395,2
The Cheat,1931,5741,0021735,3
City Lights,1931,2705,0021749,3
The Smiling Lieutenant,1931,4243,0022074,2
Hyppolit a lakaj,1931,8557,0021985,1
The Champ,1931,9110,0021730,1
Frankenstein,1931,1317,0021884,1
Monkey Business,1931,2384,0022158,1
Night Nurse,1931,636,0022208,3
The Girl from Calgary,1932,5783,0022940,2
The Blue Light (Das Blaue Licht),1932,6990,0022694,1
Three on a Match,1932,6051,0023590,3
Number 17,1932,7301,0023285,0
Horse Feathers,1932,2383,0023027,1
Thirteen Women,1932,6852,0023582,3
Merrily We Go to Hell,1932,5742,0023213,3
White Zombie,1932,2550,0023694,0
Island of Lost Souls,1932,3844,0024188,1
Freaks,1932,3659,0022913,2
"I Was Born, But...",1932,3530,0023634,1
I Am a Fugitive from a Chain Gang,1932,1318,0023042,1
The Death Kiss,1932,6176,0023935,1
Shanghai Express,1932,5929,0023458,3
Boudu Saved from Drowning,1932,2767,0022718,1
The Age of Consent,1932,1983,0022614,2
Vampyr,1932,5910,0023649,3
The Most Dangerous Game,1932,3658,0023238,0
Scarface,1932,6063,0023427,1
Grand Hotel,1932,1328,0022958,3
The Old Dark House,1932,4775,0023293,3
Love Me Tonight,1932,6052,0023158,2
Red-Headed Woman,1932,6092,0023385,3
The Invisible Man,1933,7450,0024184,1
Gold Diggers of 1933,1933,5916,0024069,3
Duck Soup,1933,5185,0023969,1
The Peanut Vendor,1933,6205,0024432,0
Cavalcade,1933,8477,0023876,3
42nd Street,1933,4335,0024034,3
A Study in Scarlet,1933,6193,0024625,3
King Kong,1933,2229,0024216,0
Baby Face,1933,7528,0023775,3
Queen Christina,1933,1330,0024481,3
The Vampire Bat,1933,3210,0024727,3
The Private Life of Henry VIII.,1933,1248,0024473,1
Tomorrow at Seven,1933,5752,0024679,3
Alice in Wonderland,1933,3188,0023753,3
Little Women,1933,2231,0024264,3
Design for Living,1933,8346,0023940,1
Female,1933,6056,0024008,3
Footlight Parade,1933,802,0024028,3
Day of Reckoning,1933,5029,0023932,3
Cleopatra,1934,1270,0024991,1
Spitfire,1934,4443,0025822,3
Mystery Liner,1934,8653,0025543,0
It Happened One Night,1934,621,0025316,3
The Man Who Knew Too Much,1934,7304,0025452,3
L’atalante,1934,1795,0024844,0
Maniac,1934,4702,0025465,3
Lost in the Stratosphere,1934,5523,0025424,2
The Painted Veil,1934,1329,0025617,1
The Scarlet Empress,1934,1325,0025746,3
Search for Beauty,1934,5821,0025755,3
The Lost Patrol,1934,1969,0025423,0
Imitation of Life,1934,7999,0025301,3
Of Human Bondage,1934,1379,0025586,1
Evelyn Prentice,1934,6772,0025091,3
The Count of Monte Cristo,1934,1246,0025004,1
The Cat&#39;s-Paw,1934,1324,0024961,1
Anne of Green Gables,1934,5319,0024831,3
The Lady in Scarlet,1935,5750,0026599,2
Roberta,1935,2362,0026942,3
Naughty Marietta,1935,1685,0026768,3
A Night At The Opera,1935,3881,0026778,1
Top Hat,1935,595,0027125,2
Anna Karenina,1935,1261,0026071,2
Mutiny on the Bounty,1935,1361,0026752,1
Magnificent Obsession,1935,2756,0026667,3
The Bride of Frankenstein,1935,3891,0026138,3
The Riverside Murder,1935,5913,0026939,2
The 39 Steps,1935,1242,0026029,3
Mad Love,1935,7998,0026663,2
Fury,1936,6096,0027652,2
The Only Son,1936,3560,0027752,3
Wife vs. Secretary,1936,1360,0028505,2
Bullets or Ballots,1936,4143,0027407,3
Modern Times,1936,1323,0027977,0
Swing Time,1936,596,0028333,1
Secret Agent,1936,7308,0028231,3
Revolt of the Zombies,1936,2554,0028174,0
Mr. Deeds Goes to Town,1936,1992,0027996,3
Murder at Glen Athol,1936,6174,0028000,3
Sabotage,1936,5926,0028212,3
Earthworm Tractors,1936,2699,0027562,1
San Francisco,1936,1359,0028216,1
Pennies from Heaven,1936,4010,0028092,3
Theodora Goes Wild,1936,3280,0028355,3
The Great Ziegfeld,1936,3401,0027698,3
The Charge of the Light Brigade,1936,1237,0027438,1
The Mandarin Mystery,1936,3548,0029207,3
My Man Godfrey,1936,5852,0028010,2
The Petrified Forest,1936,1369,0028096,3
These Three,1936,7227,0028356,2
Osaka Elegy,1936,2853,0028021,3
Dracula’s Daughter,1936,7992,0027545,3
Il caso Valdemar,1936,6210,3427056,0
Born to Dance,1936,2363,0027387,3
Romeo and Juliet,1936,4069,0028203,3
Camille,1936,3598,0028683,3
Murder at the Baskervilles (Silver Blaze),1937,5617,0029565,1
Stella Dallas,1937,795,0029608,3
"Bizarre, Bizarre",1937,8473,0027552,3
Nothing Sacred,1937,3968,0029322,0
Stage Door,1937,631,0029604,3
Knight Without Armor,1937,1244,0029087,2
A Day at the Races,1937,2382,0028772,2
Marked Woman,1937,7877,0029217,3
The Prisoner of Zenda,1937,1240,0029442,1
Lost Horizon,1937,1336,0029162,2
The Awful Truth,1937,6554,0028597,3
Parnell,1937,1358,0029377,2
Conquest,1937,1332,0028739,2
The Girl Was Young,1937,7317,0029811,3
Snow White and the Seven Dwarfs,1937,1976,0029583,3
Topper,1937,1335,0029682,2
The Life of Emile Zola,1937,8478,0029146,1
Pepe le Moko,1937,5740,0029453,2
Shall We Dance,1937,597,0029546,1
Make Way for Tomorrow,1937,4255,0029192,3
"Mr. Wong, Detective",1938,2590,0030473,1
The Dawn Patrol,1938,1238,0030044,0
Jezebel,1938,1367,0030287,2
Boys Town,1938,2467,0029942,0
Angels with Dirty Faces,1938,7290,0029870,1
The Baker&#39;s Wife,1938,6042,0030127,1
The Lady Vanishes,1938,620,0030341,3
Holiday,1938,994,0030241,3
Bluebeard’s Eighth Wife,1938,3283,0029929,2
The Mad Miss Manton,1938,4495,0030396,3
Bringing Up Baby,1938,3400,0029947,3
Carefree,1938,594,0029971,2
The Adventures of Robin Hood,1938,3103,0029843,2
Four Daughters,1938,3951,0030149,3
The Sisters,1938,1378,0030755,2
Stagecoach,1939,593,0031971,3
The Story of Alexander Graham Bell,1939,1385,0031981,2
Love Affair,1939,9038,0031593,3
Mr. Wong in Chinatown,1939,2622,0031680,1
"Goodbye, Mr. Chips",1939,1245,0031385,2
Ninotchka,1939,1259,0031725,3
Of Mice and Men,1939,2851,0031742,1
Dark Victory,1939,1370,0031210,3
Destry Rides Again,1939,5634,0031225,3
At the Circus,1939,2372,0031060,2
Babes in Arms,1939,3723,0031066,3
The Wizard of Oz,1939,174,0032138,3
Drums Along the Mohawk,1939,1384,0031252,2
Dodge City,1939,383,0031235,2
The Rules of the Game,1939,3089,0031885,3
The Hunchback of Notre Dame,1939,2086,0031455,0
Nancy Drew... Reporter,1939,5763,0031709,3
The Adventures of Sherlock Holmes,1939,5863,0031022,3
The Women,1939,588,0032143,3
The Flying Deuces,1939,1973,0031322,0
Jesse James,1939,1383,0031507,2
Gulliver’s Travels,1939,8511,0031397,0
Wuthering Heights,1939,1239,0032145,2
Le jour se l&egrave;ve,1939,8098,0031514,2
Jamaica Inn,1939,7322,0031505,3
Juarez,1939,1368,0031516,2
Young Mr. Lincoln,1939,1382,0032155,2
Mr. Smith Goes to Washington,1939,5946,0031679,2
Gone with the Wind,1939,291,0031381,3
The Gorilla,1939,2555,0031387,3
Essex and Elizabeth,1939,1371,0031826,2
The Philadelphia Story,1940,4943,0032904,3
Santa Fe Trail,1940,2678,0033021,1
Boom Town,1940,1356,0032273,1
His Girl Friday,1940,3033,0032599,3
Knute Rockne All American,1940,8480,0032676,1
Foreign Correspondent,1940,7311,0032484,1
Pride and Prejudice,1940,4257,0032943,3
The Return of Frank James,1940,1366,0032983,0
"All This, and Heaven Too",1940,1373,0032194,2
The Shop Around the Corner,1940,7861,0033045,3
The Letter,1940,1380,0032701,2
The Sea Hawk,1940,3050,0033028,3
Comrade X,1940,1355,0032349,2
The Grapes of Wrath,1940,1387,0032551,3
The Thief of Bagdad,1940,1265,0033152,0
The Mortal Storm,1940,1501,0032811,3
Pinocchio,1940,478,0032910,1
Chamber of Horrors / Door with the Seven Locks,1940,4363,0032406,2
Gaslight,1940,5773,0031359,3
Fantasia,1940,5039,0032455,0
The Ape,1940,2556,0032215,3
Anne Of Windy Poplars,1940,5320,0032211,3
"Dance, Girl, Dance",1940,4415,0032376,3
Primrose Path,1940,4354,0032946,3
Strange Cargo,1940,1357,0033105,0
The Great Dictator,1940,3470,0032553,3
A Chump at Oxford,1940,1975,0032339,0
The Last Alarm,1940,5802,0032690,3
Rebecca,1940,618,0032976,3
Murder by Invitation,1941,6171,0033928,3
Citizen Kane,1941,1266,0033467,1
Mr. Bug Goes to Town,1941,1941,0033727,1
The Maltese Falcon,1941,1230,0033870,1
Sullivan’s Travels,1941,4359,0034240,3
Sun valley serenade,1941,8625,0034241,0
The Wolf Man,1941,2436,0034398,2
How Green Was My Valley,1941,8983,0033729,3
The Little Foxes,1941,1372,0033836,2
Ladies In Retirement,1941,6318,0033802,1
The Shanghai Gesture,1941,1512,0034175,3
The Reluctant Dragon,1941,9025,0034091,3
Hold That Ghost,1941,2910,0033723,3
Cheers for Miss Bishop,1941,2446,0033459,3
The Lady Eve,1941,1386,0033804,2
Suspicion,1941,7329,0034248,3
Men of Boys Town,1941,2468,0033902,1
Buck Privates,1941,2906,0033436,3
King of the Zombies,1941,9192,0033787,3
High Sierra,1941,2410,0033717,1
Two-Faced Woman,1941,1331,0034328,2
Meet John Doe,1941,3717,0033891,3
Dumbo,1941,1117,0033563,2
The Devil and Miss Jones,1941,1682,0033533,3
49th Parallel,1941,2867,0033627,0
Tales of Manhattan,1942,3875,0035415,2
The Major and the Minor,1942,681,0035019,3
"Now, Voyager",1942,689,0035140,3
There Was a Father,1942,3789,0034591,0
Son of Fury: The Story of Benjamin Blake,1942,1388,0035360,1
Bambi,1942,1116,0034492,1
Black Dragons,1942,3518,0034521,0
To Be or Not to Be,1942,5303,0035446,0
Casablanca,1942,1076,0034583,1
Sherlock Holmes and the Secret Weapon,1942,5859,0035317,1
Woman of the Year,1942,4870,0035567,3
The Corpse Vanishes,1942,7697,0034613,1
Cat People,1942,2708,0034587,3
The Magnificent Ambersons,1942,1289,0035015,2
I Married an Angel,1942,1686,0034882,3
Saboteur,1942,5939,0035279,1
Saludos Amigos,1942,7696,0036326,0
For Me and My Gal,1942,1675,0034746,3
The Man Who Came to Dinner,1942,4475,0033874,3
Mrs. Miniver,1942,6384,0035093,3
The Seventh Victim,1943,8090,0036341,3
Le Corbeau: The Raven,1943,3890,0035753,3
Old Acquaintance,1943,1374,0036230,3
Jane Eyre,1943,6781,0036969,3
Fires Were Started,1943,5554,0035881,0
Day of Wrath,1943,3753,0036506,3
Shadow of a Doubt,1943,4617,0036342,3
Guadalcanal Diary,1943,1988,0035957,0
Girl Crazy,1943,1691,0035942,1
The Life and Death of Colonel Blimp,1943,3839,0036112,2
The Sky&#39;s the Limit,1943,1959,0036363,1
China,1943,8501,0035735,3
So Proudly We Hail!,1943,6315,0036367,3
Cry ’Havoc&#39;,1943,5209,0035770,3
I Walked with a Zombie,1943,1955,0036027,3
Sahara,1943,1987,0036323,0
Ossessione,1943,8801,0035160,1
Tender Comrade,1943,2407,0036418,3
Angels of Sin,1943,7834,0035636,3
Watch on the Rhine,1943,1375,0036515,3
La main du diable,1943,7475,0035017,1
The More the Merrier,1943,7410,0036172,1
Judo Saga (Sanshiro Sugata),1943,4699,0036400,0
The Ox-Bow Incident,1943,6310,0036244,1
Lifeboat,1944,5983,0037017,3
The Most Beautiful (Ichiban utsukushiku),1944,4698,0036947,3
Window in the Window,1944,2181,0037469,1
Cover Girl,1944,3134,0036723,3
The Three Caballeros,1944,6319,0038166,0
Arsenic and Old Lace,1944,201,0036613,3
Mr. Skeffington,1944,1376,0037094,2
Double Indemnity,1944,1416,0036775,3
Torment,1944,2045,0036914,0
The Uninvited,1944,9270,0037415,3
I’ll Be Seeing You,1944,3279,0036940,3
A Canterbury Tale,1944,6515,0036695,3
Meet Me in St. Louis,1944,1676,0037059,3
Minstrel Man,1944,6420,0037076,1
Hail the Conquering Hero,1944,1683,0036891,2
Laura,1944,2715,0037008,3
To Have and Have Not,1944,3245,0037382,3
National Velvet,1944,4222,0037120,3
Since You Went Away,1944,3154,0037280,3
Keep Your Powder Dry,1945,5677,0037843,3
Thin Man Goes Home,1945,6848,0037365,2
"Rome, Open City",1945,4428,0038890,3
I Know Where I’m Going,1945,1213,0037800,3
The Enchanted Cottage,1945,2434,0037671,3
Anchors Aweigh,1945,6017,0037514,0
Detour,1945,3999,0037638,1
Dead of Night,1945,7185,0037635,3
The Seventh Veil,1945,1280,0038924,3
The Woman in Green,1945,5856,0038259,3
The Wicked Lady,1945,9005,0038250,3
Les dames du Bois de Boulogne,1945,7835,0037630,3
Mildred Pierce,1945,794,0037913,3
Brief Encounter,1945,1544,0037558,3
"Objective, Burma!",1945,3271,0037954,0
Children of Paradise,1945,5129,0037674,2
Spellbound,1945,4252,0038109,3
Scarlet Street,1945,5081,0038057,3
The Red Dragon,1945,6945,0038017,1
Along Came Jones,1945,1639,0037508,0
Isle of the Dead,1945,2004,0037820,3
The Lost Weekend,1945,3583,0037884,2
Stairway to Heaven,1946,1231,0038733,0
Terror by Night,1946,5872,0039017,1
Devotion,1946,1381,0038474,3
Gilda,1946,2809,0038559,0
Deception,1946,1377,0038461,0
Dressed to Kill,1946,4002,0038494,3
The Postman Always Rings Twice,1946,1424,0038854,1
Great Expectations,1946,9182,0038574,2
The Years Between,1946,8354,0039112,3
It’s a Wonderful Life,1946,2235,0038650,3
The Strange Woman,1946,3145,0038990,3
Two Sisters from Boston,1946,1680,0039054,3
Duel in the sun,1946,4900,0038499,2
The Jolson Story,1946,2654,0038661,1
Beauty and the Beast,1946,1268,0038348,3
Make Mine Music,1946,8052,0038718,1
The Best Years of Our Lives,1946,3982,0036868,2
The Dark Corner,1946,5961,0038453,1
The Stranger,1946,7671,0038991,3
The Harvey Girls,1946,786,0038589,3
The Chase,1946,5497,0038409,1
My Darling Clementine,1946,3783,0038762,1
Notorious,1946,622,0038787,2
Song of the South,1946,5646,0038969,2
The Big Sleep,1946,971,0038355,1
The Paradine Case,1947,2330,0039694,2
Body and Soul,1947,8619,0039204,3
The Egg and I,1947,2287,0039349,3
Calendar Girl,1947,5779,0039236,2
The Shocking Miss Pilgrim,1947,1681,0039819,3
The Ghost and Mrs. Muir,1947,3047,0039420,3
The Unfinished Dance,1947,8729,0039938,3
Fun &amp; Fancy Free,1947,8053,0039404,1
Build My Gallows High,1947,6550,0039689,2
Nada,1947,7432,0039650,3
Gunfighters,1947,3112,0039441,2
Black Narcissus,1947,1211,0039192,3
The Lady from Shanghai,1947,8756,0040525,0
Dishonored Lady,1947,8646,0039324,3
Odd Man Out,1947,1278,0039677,2
Good News,1947,1679,0039431,2
Crossfire,1947,4411,0039286,2
Miracle on 34th Street,1947,8989,0039628,3
The Exile,1947,1235,0039360,1
Red River,1948,1320,0040724,0
Mr. Blandings Builds His Dream House,1948,2445,0040613,3
Rudolph the Red-Nosed Reindeer,1948,1601,0156031,0
Melody Time,1948,8054,0040580,1
Bicycle Thieves,1948,6517,0040522,2
It Happened in Europe,1948,8559,0039949,0
The Treasure of the Sierra Madre,1948,3239,0040897,0
Enchantment,1948,1241,0040321,3
Anna Karenina,1948,1262,0040098,2
Easter Parade,1948,1677,0040308,3
I Remember Mama,1948,4390,0040458,3
The Fuller Brush Man,1948,2300,0040379,1
Casbah,1948,2256,0040214,1
The Red Shoes,1948,1229,0040725,3
Call Northside 777,1948,5115,0040202,1
Bonnie Prince Charlie,1948,1236,0040183,2
Command Decision,1948,1354,0040242,0
Act of Violence,1948,4944,0041088,2
Hamlet,1948,1232,0040416,1
Macbeth,1948,8264,0040558,1
Joan of Arc,1948,6363,0040491,3
The Snake Pit,1948,2098,0040806,3
Rope,1948,2040,0040746,0
The Fountainhead,1949,4554,0041386,1
I Was a Male War Bride,1949,7018,0041498,2
The Adventures of Ichabod and Mr. Toad,1949,7059,0041094,0
The Heiress,1949,6358,0041452,3
Little Women,1949,2232,0041594,3
Pinky,1949,1736,0041746,3
Caught,1949,1841,0040221,3
The Barkleys of Broadway,1949,1684,0041158,3
Adam’s Rib,1949,1716,0041090,3
Under Capricorn,1949,7341,0042004,3
Mighty Joe Young,1949,2651,0041650,0
A Letter to Three Wives,1949,3967,0041587,3
On the Town,1949,1690,0041716,3
The Man on the Eiffel Tower,1949,2849,0041628,2
The Set-Up,1949,1986,0041859,0
Kind Hearts and Coronets,1949,4008,0041546,1
Late Spring,1949,3539,0041154,3
The Third Man,1949,611,0041959,0
Odette,1950,4521,0043871,3
Orpheus,1950,3295,0041719,2
No Way Out,1950,5232,0042792,3
Summer Stock,1950,1678,0043012,3
Les enfants terribles,1950,7836,0042436,3
In a Lonely Place,1950,4417,0042593,2
D.O.A.,1950,5350,0042369,1
Harvey,1950,2596,0042546,2
Scandal,1950,7144,0042958,3
Stage Fright,1950,6233,0042994,3
Rashomon,1950,1402,0042876,0
Cinderella,1950,1057,0042332,3
Born Yesterday,1950,3990,0042276,3
The Asphalt Jungle,1950,2099,0042208,1
Sunset Blvd.,1950,608,0043014,3
All About Eve,1950,139,0042192,3
Three Secrets,1950,8363,0043045,3
The Flying Saucer,1950,4031,0042469,1
The Idiot,1951,7157,0043614,3
Cause for Alarm!,1951,5739,0043390,3
Ace In The Hole,1951,871,0043338,2
Strangers on a Train,1951,1417,0044079,2
The Day the Earth Stood Still,1951,1916,0043456,3
The African Queen,1951,1491,0043265,0
A Streetcar Named Desire,1951,2930,0044081,3
Early Summer,1951,3222,0043313,3
Bellissima,1951,3825,0043332,3
Westward the Women,1951,6498,0044205,3
Diary of a Country Priest,1951,2989,0042619,1
Quo Vadis,1951,5092,0043949,3
The Thing from Another World,1951,3293,0044121,1
An American in Paris,1951,3389,0043278,1
Alice in Wonderland,1951,1207,0043274,3
Take Care of My Little Girl,1951,4510,0044100,3
Show Boat,1951,2977,0044030,3
Surcos,1951,7435,0044092,3
Lovely to Look at,1952,1689,0044855,3
Europe ’51,1952,8241,0043511,3
Forbidden Games,1952,5972,0043686,3
The Big Sky,1952,1465,0044419,0
The Bad and the Beautiful,1952,7323,0044391,2
The Quiet Man,1952,2737,0045061,1
Limelight,1952,6917,0044837,1
The Magic Box,1952,1243,0043769,2
Singin’ in the Rain,1952,612,0045152,3
Ikiru,1952,7162,0044741,1
Clash by Night,1952,3403,0044502,3
High Noon,1952,2704,0044706,2
The Snows of Kilimanjaro,1952,6941,0045162,1
How to Marry a Millionaire,1953,4909,0045891,3
Calamity Jane,1953,2427,0045591,3
Shane,1953,3303,0046303,1
Gentlemen Prefer Blondes,1953,2547,0045810,3
The Band Wagon,1953,1692,0045537,1
From Here to Eternity,1953,4071,0045793,3
Tokyo Story,1953,1630,0046438,3
Inferno,1953,8011,0045911,0
The Hitch-Hiker,1953,4301,0045877,0
The War of the Worlds,1953,2375,0046534,1
Mr. Hulot’s Holiday,1953,5937,0046487,3
The Cruel Sea,1953,2553,0045659,3
Mogambo,1953,1362,0046085,2
Julius Caesar,1953,1272,0045943,1
